;Unnamed: 0;word;weight;company;type;weight_01;cat;index
242;242;friendly;0,193315858;google;pros;0,080469176;1;88
315;315;freedom;0,079292267;google;pros;0,033006001;1;266
193;193;free;0,551114024;google;cons;0,048;0;18
212;212;free;0,551114024;google;pros;0,255591926;1;338
145;145;food;0,780471822;google;cons;0,061;0;11
207;207;food;0,780471822;google;pros;0,358156028;1;259
156;156;focus;-0,077060932;google;cons;0,058;0;279
389;389;focus;-0,077060932;google;pros;0,019912711;1;390
255;255;flexible;0,154652687;google;pros;0,064375341;1;114
306;306;flexibility;0,085845347;google;pros;0,03573377;1;242
88;88;find;-0,150537634;google;cons;0,0895;0;162
346;346;find;-0,150537634;google;pros;0,025913803;1;343
37;37;feel;-0,344086022;google;cons;0,1675;0;76
293;293;feel;-0,344086022;google;pros;0,039007092;1;217
111;111;fast;-0,059139785;google;cons;0,077;0;199
313;313;fast;-0,059139785;google;pros;0,033006001;1;264
155;155;far;-0,209677419;google;cons;0,0585;0;276
283;283;fantastic;0,104193971;google;pros;0,043371522;1;193
347;347;facilities;0,06225426;google;pros;0,025913803;1;344
167;167;extremely;-0,010752688;google;cons;0,055;0;296
337;337;extremely;-0,010752688;google;pros;0,028368794;1;314
68;68;experience;-0,032258065;google;cons;0,11;0;130
266;266;experience;-0,032258065;google;pros;0,055100927;1;146
195;195;expect;-0,170250896;google;cons;0,0475;0;341
295;295;exciting;0,089777195;google;pros;0,037370431;1;225
245;245;excellent;0,180209699;google;pros;0,075013639;1;98
104;104;everything;0,010484928;google;cons;0,081;0;166
275;275;everything;0,010484928;google;pros;0,048554283;1;186
84;84;everyone;-0,016129032;google;cons;0,0965;0;154
271;271;everyone;-0,016129032;google;pros;0,050190944;1;160
115;115;every;0,034076016;google;cons;0,0745;0;149
267;267;every;0,034076016;google;pros;0,054828151;1;205
305;305;ever;0,085845347;google;pros;0,03573377;1;241
55;55;even;-0,224014337;google;cons;0,129;0;104
299;299;even;-0,224014337;google;pros;0,036279324;1;232
188;188;etc;0,068807339;google;cons;0,0485;0;145
265;265;etc;0,068807339;google;pros;0,055100927;1;332
60;60;environment;0,550458716;google;cons;0,116;0;16
211;211;environment;0,550458716;google;pros;0,292416803;1;117
103;103;enough;-0,292114695;google;cons;0,0815;0;185
114;114;engineers;0,008519004;google;cons;0,0745;0;188
281;281;engineers;0,008519004;google;pros;0,044189853;1;204
139;139;engineering;-0,050179211;google;cons;0,0635;0;250
341;341;engineering;-0,050179211;google;pros;0,02700491;1;328
382;382;engineer;0,050458716;google;pros;0,021003819;1;383
178;178;end;-0,182795699;google;cons;0,051;0;317
32;32;employees;0,044560944;google;cons;0,1825;0;49
227;227;employees;0,044560944;google;pros;0,118112384;1;67
184;184;employee;0,0327654;google;cons;0,0495;0;206
289;289;employee;0,0327654;google;pros;0,040643753;1;325
365;365;edge;0,05570118;google;pros;0,023186034;1;366
100;100;easy;0,001310616;google;cons;0,083;0;176
277;277;easy;0,001310616;google;pros;0,045826514;1;180
168;168;due;-0,195340502;google;cons;0,0545;0;299
370;370;driven;0,054390564;google;pros;0,02264048;1;371
17;17;dont;-0,654121864;google;cons;0,244;0;40
311;311;dont;-0,654121864;google;pros;0,033551555;1;257
90;90;done;-0,17921147;google;cons;0,0885;0;167
383;383;done;-0,17921147;google;pros;0,021003819;1;384
153;153;doesnt;-0,209677419;google;cons;0,0585;0;274
26;26;difficult;-0,718637993;google;cons;0,2005;0;59
126;126;different;-0,017921147;google;cons;0,07;0;221
307;307;different;-0,017921147;google;pros;0,035460993;1;244
158;158;development;0,024246396;google;cons;0,058;0;200
287;287;development;0,024246396;google;pros;0,041734861;1;281
180;180;decisions;-0,181003584;google;cons;0,0505;0;320
106;106;day;-0,007168459;google;cons;0,0805;0;189
284;284;day;-0,007168459;google;pros;0,042825968;1;194
33;33;culture;0,468545216;google;cons;0,181;0;15
210;210;culture;0,468545216;google;pros;0,293780687;1;68
375;375;creative;0,053079948;google;pros;0,022094926;1;376
251;251;coworkers;0,163171691;google;pros;0,06792144;1;110
72;72;could;-0,383512545;google;cons;0,107;0;135
122;122;corporate;-0,256272401;google;cons;0,0715;0;215
269;269;cool;0,122542595;google;pros;0,051009274;1;157
19;19;cons;-0,833333333;google;cons;0,2325;0;46
76;76;competitive;-0,136200717;google;cons;0,1055;0;140
296;296;competitive;-0,136200717;google;pros;0,036824877;1;227
240;240;compensation;0,198558322;google;pros;0,082651391;1;85
1;1;company;-0,5609319;google;cons;0,848;0;6
206;206;company;-0,5609319;google;pros;0,377250409;1;10
92;92;companies;-0,035842294;google;cons;0,088;0;169
286;286;companies;-0,035842294;google;pros;0,042553191;1;197
164;164;commute;-0,198924731;google;cons;0,0555;0;291
175;175;come;-0,186379928;google;cons;0,052;0;312
233;233;colleagues;0,246395806;google;pros;0,102564103;1;66
173;173;code;-0,188172043;google;cons;0,0525;0;308
260;260;co;0,146133683;google;pros;0,060829242;1;126
399;399;changing;0,045216252;google;pros;0,018821604;1;400
117;117;change;-0,082437276;google;cons;0,0735;0;209
339;339;change;-0,082437276;google;pros;0,027550464;1;321
146;146;challenging;0,06225426;google;cons;0,061;0;132
261;261;challenging;0,06225426;google;pros;0,05919258;1;260
392;392;challenges;0,047837484;google;pros;0,019912711;1;393
21;21;career;-0,317204301;google;cons;0,2145;0;50
248;248;career;-0,317204301;google;pros;0,068739771;1;105
274;274;care;0,116644823;google;pros;0,048554283;1;165
112;112;cant;-0,272401434;google;cons;0,076;0;201
308;308;campus;0,084534731;google;pros;0,035188216;1;246
137;137;business;-0,08781362;google;cons;0,064;0;248
378;378;business;-0,08781362;google;pros;0,021549373;1;379
144;144;bureaucratic;-0,222222222;google;cons;0,062;0;255
64;64;bureaucracy;-0,403225806;google;cons;0,1125;0;125
320;320;brilliant;0,076671035;google;pros;0,031914894;1;277
338;338;brand;0,066841415;google;pros;0,027823241;1;318
