;Unnamed: 0;word;weight;company;type;weight_01;cat;index
212;212;lot;0,104923798;amazon;pros;0,198597546;1;37
9;9;long;-1;amazon;cons;0,253326237;0;19
286;286;long;-1;amazon;pros;0,045997162;1;215
398;398;location;0,079425557;amazon;pros;0,022622923;1;399
35;35;little;-0,521475054;amazon;cons;0,106616995;0;70
14;14;like;-0,534056399;amazon;cons;0,222192656;0;26
232;232;like;-0,534056399;amazon;pros;0,106352784;1;68
8;8;life;-0,938828633;amazon;cons;0,262018804;0;18
257;257;life;-0,938828633;amazon;pros;0,065948744;1;145
51;51;level;-0,239045553;amazon;cons;0,090828455;0;97
313;313;level;-0,239045553;amazon;pros;0,039485767;1;270
62;62;less;-0,419956616;amazon;cons;0,085861274;0;113
119;119;leave;-0,246854664;amazon;cons;0,050470108;0;205
241;241;learning;0,320339977;amazon;pros;0,091243009;1;85
184;184;learn;0,546893318;amazon;cons;0,03681036;0;31
214;214;learn;0,546893318;amazon;pros;0,190416562;1;308
70;70;leadership;0,005568581;amazon;cons;0,079740997;0;125
254;254;leadership;0,005568581;amazon;pros;0,07663411;1;126
361;361;large;0,099355217;amazon;pros;0,028299524;1;362
77;77;lack;-0,37527115;amazon;cons;0,076725208;0;134
64;64;know;-0,272885033;amazon;cons;0,084619478;0;116
375;375;know;-0,272885033;amazon;pros;0,027130812;1;376
107;107;keep;-0,272451193;amazon;cons;0,055703388;0;188
397;397;jobs;0,080011723;amazon;pros;0,022789882;1;398
13;13;job;-0,242950108;amazon;cons;0,225031045;0;25
217;217;job;-0,242950108;amazon;pros;0,165038818;1;40
198;198;ive;-0,002603037;amazon;cons;0,035391166;0;336
338;338;ive;-0,002603037;amazon;pros;0,032807413;1;339
195;195;issues;-0,174403471;amazon;cons;0,035657265;0;331
177;177;isnt;-0,1835141;amazon;cons;0,037519957;0;300
161;161;internal;-0,069848156;amazon;cons;0,041245343;0;278
382;382;internal;-0,069848156;amazon;pros;0,025377744;1;383
267;267;interesting;0,206623681;amazon;pros;0,058852993;1;167
326;326;insurance;0,120164127;amazon;pros;0,034226563;1;316
314;314;innovative;0,137162954;amazon;pros;0,03906837;1;273
348;348;innovation;0,107268464;amazon;pros;0,030553469;1;349
376;376;industry;0,094665885;amazon;pros;0,026963853;1;377
344;344;impact;0,11049238;amazon;pros;0,031471742;1;345
341;341;ideas;0,113423212;amazon;pros;0,032306536;1;342
395;395;huge;0,08147714;amazon;pros;0,023207279;1;396
53;53;hr;-0,440780911;amazon;cons;0,090118858;0;99
4;4;hours;-1,018221258;amazon;cons;0,349476672;0;13
223;223;hours;-1,018221258;amazon;pros;0,13298272;1;51
61;61;hour;-0,279392625;amazon;cons;0,086038673;0;112
374;374;hour;-0,279392625;amazon;pros;0,027214292;1;375
269;269;home;0,206330598;amazon;pros;0,058769513;1;169
181;181;hire;-0,180911063;amazon;cons;0,036987759;0;305
24;24;high;-0,401735358;amazon;cons;0,164803974;0;43
252;252;high;-0,401735358;amazon;pros;0,077802822;1;122
357;357;helpful;0,101992966;amazon;pros;0,029050839;1;358
137;137;help;0,005275498;amazon;cons;0,046301224;0;223
289;289;help;0,005275498;amazon;pros;0,045078888;1;232
325;325;health;0,12045721;amazon;pros;0,034310043;1;314
18;18;hard;-0,534056399;amazon;cons;0,196026255;0;35
249;249;hard;-0,534056399;amazon;pros;0,081726354;1;109
60;60;growth;0,135404455;amazon;cons;0,086393472;0;58
227;227;growth;0,135404455;amazon;pros;0,11987645;1;111
311;311;growing;0,140093787;amazon;pros;0,039903164;1;267
258;258;grow;0,22919109;amazon;pros;0,065280908;1;146
55;55;great;1,88130129;amazon;cons;0,089054462;0;4
202;202;great;1,88130129;amazon;pros;0,619667752;1;103
21;21;good;1,990621336;amazon;cons;0,177488026;0;3
201;201;good;1,990621336;amazon;pros;0,73403456;1;39
130;130;going;-0,237310195;amazon;cons;0,048518716;0;218
56;56;go;-0,246854664;amazon;cons;0,088699663;0;104
319;319;go;-0,246854664;amazon;pros;0,035979631;1;294
152;152;given;-0,057700651;amazon;cons;0,042487139;0;263
358;358;given;-0,057700651;amazon;pros;0,02888388;1;359
151;151;give;-0,078958785;amazon;cons;0,042841937;0;260
385;385;give;-0,078958785;amazon;pros;0,025127306;1;386
110;110;getting;-0,268112798;amazon;cons;0,054816392;0;191
190;190;gets;-0,176138829;amazon;cons;0,036012063;0;321
1;1;get;-0,708893709;amazon;cons;0,387351428;0;6
209;209;get;-0,708893709;amazon;pros;0,228149261;1;21
234;234;fun;0,345838218;amazon;pros;0,098505718;1;72
322;322;full;0,123974209;amazon;pros;0,035311796;1;301
236;236;friendly;0,339097304;amazon;pros;0,096585692;1;75
349;349;freedom;0,106975381;amazon;pros;0,030469989;1;350
284;284;free;0,168815944;amazon;pros;0,048084147;1;202
368;368;focus;0,097596717;amazon;pros;0,027798648;1;369
242;242;flexible;0,317995311;amazon;pros;0,090575173;1;88
342;342;flexibility;0,113130129;amazon;pros;0,032223057;1;343
104;104;first;-0,102819957;amazon;cons;0,056945184;0;183
333;333;first;-0,102819957;amazon;pros;0,033809166;1;328
95;95;find;-0,155748373;amazon;cons;0,064484655;0;160
347;347;find;-0,155748373;amazon;pros;0,030720427;1;348
108;108;feel;-0,09978308;amazon;cons;0,055703388;0;189
337;337;feel;-0,09978308;amazon;pros;0,03322481;1;338
193;193;favoritism;-0,175704989;amazon;cons;0,035923363;0;325
79;79;fast;0,283411489;amazon;cons;0,076015611;0;44
218;218;fast;0,283411489;amazon;pros;0,152266466;1;136
186;186;far;-0,178741866;amazon;cons;0,036544261;0;311
147;147;extremely;-0,212581345;amazon;cons;0,043462835;0;254
81;81;experience;0,101113716;amazon;cons;0,073265922;0;73
235;235;experience;0,101113716;amazon;pros;0,097754404;1;138
124;124;expected;-0,24164859;amazon;cons;0,049405712;0;211
165;165;expectations;-0,196529284;amazon;cons;0,040180947;0;282
105;105;expect;-0,276789588;amazon;cons;0,056590385;0;185
343;343;exciting;0,11049238;amazon;pros;0,031471742;1;344
282;282;excellent;0,172626026;amazon;pros;0,04916938;1;198
91;91;everything;-0,181778742;amazon;cons;0,067677843;0;153
359;359;everything;-0,181778742;amazon;pros;0,028716921;1;360
90;90;everyone;-0,110629067;amazon;cons;0,06829874;0;152
295;295;everyone;-0,110629067;amazon;pros;0,042991902;1;237
42;42;every;-0,059002169;amazon;cons;0,09748093;0;83
250;250;every;-0,059002169;amazon;pros;0,080390684;1;114
180;180;ever;-0,044685466;amazon;cons;0,037165159;0;304
378;378;ever;-0,044685466;amazon;pros;0,026379497;1;379
28;28;even;-0,503253796;amazon;cons;0,138992372;0;53
328;328;even;-0,503253796;amazon;pros;0,033976125;1;319
194;194;especially;-0,174403471;amazon;cons;0,035657265;0;330
36;36;environment;0,587631887;amazon;cons;0,104843002;0;17
208;208;environment;0,587631887;amazon;pros;0,266048919;1;71
72;72;enough;-0,382212581;amazon;cons;0,078144403;0;129
118;118;end;-0,246854664;amazon;cons;0,050470108;0;204
11;11;employees;-0,688937093;amazon;cons;0,237892496;0;23
240;240;employees;-0,688937093;amazon;pros;0,091326488;1;84
52;52;employee;-0,166160521;amazon;cons;0,090828455;0;98
278;278;employee;-0,166160521;amazon;pros;0,05351031;1;184
231;231;easy;0,381008206;amazon;pros;0,108523249;1;67
127;127;due;-0,239045553;amazon;cons;0,048873514;0;214
335;335;driven;0,117526377;amazon;pros;0,033475248;1;333
380;380;dress;0,092028136;amazon;pros;0,026212539;1;381
12;12;dont;-0,925813449;amazon;cons;0,233634912;0;24
301;301;dont;-0,925813449;amazon;pros;0,041739711;1;247
126;126;done;-0,101518438;amazon;cons;0,049139613;0;213
377;377;done;-0,101518438;amazon;pros;0,026713415;1;378
109;109;doesnt;-0,270281996;amazon;cons;0,05525989;0;190
76;76;difficult;-0,377874187;amazon;cons;0,077257406;0;133
131;131;different;0,031652989;amazon;cons;0,048518716;0;177
273;273;different;0,031652989;amazon;pros;0,054679022;1;219
146;146;development;-0,005639913;amazon;cons;0,043640234;0;252
310;310;development;-0,005639913;amazon;pros;0,039986643;1;264
248;248;decent;0,28898007;amazon;pros;0,08231071;1;107
48;48;days;-0,11670282;amazon;cons;0,091449352;0;94
261;261;days;-0,11670282;amazon;pros;0,06361132;1;154
25;25;day;-0,109761388;amazon;cons;0,155401809;0;46
225;225;day;-0,109761388;amazon;pros;0,125135654;1;55
370;370;data;0,097010551;amazon;pros;0,027631689;1;371
292;292;customers;0,156799531;amazon;pros;0,044661491;1;227
134;134;customer;0,175849941;amazon;cons;0,04736562;0;77
238;238;customer;0,175849941;amazon;pros;0,094665665;1;228
34;34;culture;0,263774912;amazon;cons;0,117881852;0;32
215;215;culture;0,263774912;amazon;pros;0,186075632;1;65
331;331;coworkers;0,11869871;amazon;pros;0,033809166;1;326
65;65;could;-0,413015184;amazon;cons;0,084442079;0;117
315;315;cool;0,137162954;amazon;pros;0,03906837;1;274
159;159;constantly;-0,201735358;amazon;cons;0,041245343;0;276
57;57;cons;-0,429934924;amazon;cons;0,087901366;0;105
300;300;competitive;0,146834701;amazon;pros;0,041823191;1;245
133;133;compensation;0,055685815;amazon;cons;0,04745432;0;161
264;264;compensation;0,055685815;amazon;pros;0,060522581;1;226
7;7;company;0,278135991;amazon;cons;0,290580096;0;7
204;204;company;0,278135991;amazon;pros;0,352700559;1;16
114;114;companies;-0,04208243;amazon;cons;0,052244101;0;197
305;305;companies;-0,04208243;amazon;pros;0,041071876;1;253
