;Unnamed: 0;word;weight;company;type;wieght_01;cat;index
203;203;benefits;1;microsoft;pros;0,64329202;1;260
316;316;benefit;0,056083139;microsoft;pros;0,034029137;1;276
170;170;become;-0,187343358;microsoft;cons;0,065441016;0;292
124;124;based;-0,255639098;microsoft;cons;0,089297439;0;215
19;19;balance;0,177745924;microsoft;cons;0,272269643;0;15
208;208;balance;0,177745924;microsoft;pros;0,243096325;1;42
33;33;bad;-0,634711779;microsoft;cons;0,221711534;0;63
155;155;back;-0,200501253;microsoft;cons;0,070037207;0;269
267;267;awesome;0,089948038;microsoft;pros;0,054577082;1;161
389;389;available;0,03637341;microsoft;pros;0,022070015;1;390
347;347;atmosphere;0,045690736;microsoft;pros;0,027723418;1;348
125;125;around;0,054112166;microsoft;cons;0,089078573;0;100
244;244;around;0,054112166;microsoft;pros;0,077081974;1;216
325;325;areas;0,052678731;microsoft;pros;0,03196347;1;301
392;392;area;0,035119154;microsoft;pros;0,02130898;1;393
176;176;anything;-0,182957393;microsoft;cons;0,063908952;0;303
239;239;amazing;0,13402616;microsoft;pros;0,081322027;1;93
61;61;always;-0,105889724;microsoft;cons;0,143357409;0;111
270;270;always;-0,105889724;microsoft;pros;0,052837573;1;169
56;56;also;-0,112155388;microsoft;cons;0,149266798;0;104
266;266;also;-0,112155388;microsoft;pros;0,054685801;1;160
344;344;across;0,046944992;microsoft;pros;0,028484453;1;345
301;301;access;0,063071134;microsoft;pros;0,038269189;1;247
293;293;ability;0,069342412;microsoft;pros;0,042074364;1;224
